epoch,accuracy,fn,fp,loss,pr_auc,precision,recall,roc_auc,tn,tp,val_accuracy,val_fn,val_fp,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,val_tn,val_tp,std_epoch,std_accuracy,std_fn,std_fp,std_loss,std_pr_auc,std_precision,std_recall,std_roc_auc,std_tn,std_tp,std_val_accuracy,std_val_fn,std_val_fp,std_val_loss,std_val_pr_auc,std_val_precision,std_val_recall,std_val_roc_auc,std_val_tn,std_val_tp,type
0,0.5036432623863221,2622.6,2663.4,8.492232704162598,0.5033892631530762,0.5036310315132141,0.507474023103714,0.5051217436790466,2661.4,2702.2,0.500001746416092,546.8,784.4,7.877093696594239,0.5090202927589417,0.5071126401424408,0.5892128750681878,0.49679914116859436,546.8,784.4,0.0,0.002341282907089089,52.17508984180095,59.89524188113777,0.04532739881297844,0.004146483754665751,0.0023504085381687878,0.009820467193854505,0.0038782490525242456,59.75148533718639,52.41144913089124,0.021286582580900913,378.9149772706273,398.36445624578505,0.029091655136962217,0.022659117155461244,0.021637416892970593,0.2847066707368805,0.025791325799944094,398.21572043303365,379.0549300563178,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
1,0.5220479726791382,2549.4,2540.6,7.237157535552979,0.5318137645721436,0.5220655202865601,0.5212209761142731,0.533780312538147,2784.2,2775.4,0.5129964470863342,437.2,859.4,6.581291580200196,0.5177903890609741,0.510727322101593,0.6715601444244385,0.5243523001670838,471.8,894.0,1.0,0.0041152769095315735,116.46218270322774,102.34373454198357,0.027853041155587704,0.00534697313326348,0.003988000289347053,0.021881246317924548,0.004111621045547795,102.11444559904344,116.57546911764929,0.009277439321156357,158.6661904754759,166.94142685385197,0.03487231603833677,0.010901465326142057,0.009336546937142743,0.11923632675083227,0.013805181369322633,166.77457839850774,158.826949854236,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
2,0.5293345928192139,2481.0,2531.4,5.981329441070557,0.5427055716514587,0.5292403697967529,0.5340665102005004,0.5451230049133301,2793.4,2843.8,0.5120208621025085,574.6,724.6,5.418042755126953,0.5169999599456787,0.5119922161102295,0.5683586955070495,0.5166414976119995,606.6,756.6,1.4142135623730951,0.003398873823199751,131.55075066300458,153.45957122317265,0.052488869708051986,0.004430597408827553,0.0044317815352150165,0.02471411794358585,0.0025867510769872143,153.30570765630353,131.6592571754831,0.01061207077967625,158.48987349354533,169.91244804310247,0.0673580313926529,0.014011591728089993,0.011349982385458427,0.11907812437182404,0.017816743754562873,169.87124535953694,158.4974447743559,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
3,0.5450912117958069,2458.0,2386.6,4.926397228240967,0.5674749374389648,0.5458155155181885,0.538386070728302,0.5668806910514832,2938.2,2866.8,0.5148740530014038,657.0,634.6,4.493170261383057,0.5219170212745666,0.5200491428375245,0.5064346939325333,0.521985900402069,696.6,674.2,1.7320508075688772,0.004845483048855163,80.07746249725949,99.43560730442593,0.083510015208029,0.00670541140512988,0.005752108584252992,0.015048425899126434,0.008377830777797484,99.16733333109245,80.19576048644966,0.009644143740793303,254.85682254944638,265.75522572472585,0.10184400098878572,0.01232590922184996,0.01720685825943846,0.1915209358946302,0.012246407984805427,265.58057157857013,255.03521325495427,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
4,0.559439480304718,2397.4,2294.4,4.131396341323852,0.5905210375785828,0.5606293320655823,0.5497675180435181,0.5882735848426819,3030.4,2927.4,0.5159995555877686,768.6,520.0,3.834401082992554,0.5282439708709716,0.5263466596603393,0.4225942701101303,0.5275225877761841,811.2,562.6,2.0,0.010997088906841347,70.887516531474,72.25399642926335,0.10313598095777733,0.012307484036386976,0.011364157885487839,0.013299103128421105,0.011860710381130108,71.91550597750113,70.72934327420268,0.007835883251144865,252.8806833271375,258.1890780029241,0.106168826982613,0.009449978476105297,0.017367553717728905,0.19005428695519885,0.00971492013003152,257.9840305135184,253.10440533503166,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
5,0.5784443736076355,2296.2,2193.2,3.554446077346802,0.6163480758666993,0.5800396561622619,0.5687730550765991,0.6141507506370545,3131.6,3028.6,0.5172022223472595,921.4,364.0,3.3447237491607664,0.5350133657455445,0.542320442199707,0.30782405138015745,0.536273455619812,967.2,409.8,2.23606797749979,0.002579864078671085,62.614375346241374,63.48039067302595,0.0977619754341188,0.00883943823536657,0.0033572473235890968,0.011740261873982867,0.0042490266904828084,63.61949386783896,62.38140748652599,0.01206134537261355,215.7448493012058,223.49854585656703,0.08994993326445064,0.01700609947949757,0.042741317267703666,0.16215713816797414,0.012344129159309117,223.35657590498653,215.89664193775687,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
6,0.5919852614402771,2292.0,2053.2,3.118314504623413,0.6401131987571717,0.5963549017906189,0.5695622205734253,0.6340193510055542,3271.6,3032.8,0.5323758721351624,594.6,650.4,2.9709617137908935,0.5426248669624328,0.5329118251800538,0.5533519208431243,0.5478350520133972,680.8,736.6,2.449489742783178,0.009464941536897913,67.60473356208128,72.9120017555409,0.08430938755808615,0.014835675859945644,0.01007429308016144,0.012666195847450224,0.012022926943080407,72.81373496806766,67.21725968826756,0.0049501462730183,144.72124930361815,150.13007693330474,0.08410320172249748,0.015038143573672256,0.009999825183623924,0.10864604746763978,0.010361115263957298,150.3481293531782,144.51795736170644,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
7,0.6090370059013367,2181.2,1982.4,2.7810965061187742,0.6626778364181518,0.6133513808250427,0.590369713306427,0.657135808467865,3342.4,3143.6,0.5265942811965942,653.4,607.0,2.686195659637451,0.5466422200202942,0.5291458964347839,0.509172922372818,0.5453236818313598,724.2,677.8,2.6457513110645907,0.004238386489052343,20.272148381461694,59.338351847687846,0.07903106945466487,0.0094927380439216,0.006038091671617344,0.003792627725593675,0.005566347374043752,59.36530973556864,20.08581589082206,0.00926382552420683,170.37441122422112,170.90465177987403,0.07401585613276772,0.01734281856988557,0.010998449984700637,0.1279694953159008,0.012813994150239288,170.9542628892301,170.2884611475481,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
8,0.6266342401504517,2054.4,1921.8,2.5133962631225586,0.6886193871498107,0.6299168944358826,0.6141833782196044,0.6828354477882386,3403.0,3270.4,0.5338038563728332,674.2,567.0,2.4662856101989745,0.5441272735595704,0.5375779151916504,0.49352887868881223,0.5472484946250915,764.2,657.0,2.8284271247461903,0.005709883433038728,60.21494831019951,58.67674155915613,0.06597144802091368,0.009000164969812924,0.006301138064105181,0.011285427927946356,0.00713948531819009,58.64810312363052,59.88856318196322,0.008614657124193965,134.21981969888054,122.02130961434564,0.05951480290595452,0.02120902333847482,0.00940961319208244,0.1008877349066659,0.017716574695466603,121.87107942411932,134.36219706450174,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
9,0.6407190442085267,1970.0,1856.2,2.304188537597656,0.7091320514678955,0.643852150440216,0.6300337910652161,0.7017228722572326,3468.6,3354.8,0.5307202100753784,729.4,520.0,2.2943665027618407,0.5475094795227051,0.5376809954643249,0.4520599067211151,0.5480163097381592,811.2,601.8,3.0,0.005939823942931271,59.859836284440334,60.94390863736917,0.05827668686354559,0.009711691198163333,0.0068068311303528094,0.011218413867058793,0.006800991629439157,61.15096074470131,59.51268772287133,0.01648344116656211,144.05082436418058,141.80550059853107,0.053340417402409315,0.030084377644746984,0.01737633656833398,0.1082842361701279,0.020811935813086078,141.7369394335859,144.21567182522153,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
10,0.6626541376113891,1875.4,1717.2,2.1297425746917726,0.7362679839134216,0.6677014946937561,0.647799289226532,0.7265447378158569,3607.6,3449.4,0.5255373835563659,610.0,653.2,2.162265729904175,0.5456185102462768,0.5234761953353881,0.5417426526546478,0.5441385269165039,678.0,721.2,3.1622776601683795,0.003991079739029423,30.87134593761665,51.39416309270927,0.05515362716734021,0.003339021506018621,0.005840994860044627,0.0057788967619629445,0.0044221728392365356,51.410504763131826,30.58496362593881,0.01772362535110566,121.99836064472342,87.96908547893402,0.04704051520991603,0.03386340792131319,0.014392189102023962,0.09173754310846602,0.02421876291138871,87.62191506695115,122.34933591973436,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
11,0.6762322306632995,1782.6,1665.4,1.9884698152542115,0.754761815071106,0.6801793932914734,0.6652275204658509,0.7462335109710694,3659.4,3542.2,0.5246401309967041,692.8,572.8,2.061178803443909,0.5471361160278321,0.5316177606582642,0.47959706783294676,0.5421309232711792,758.4,638.4,3.3166247903554,0.005743652569274987,54.76714343472736,25.803875677889938,0.0501809608481266,0.007809322707284289,0.004851666571825383,0.01026497316323448,0.006079272440725927,25.981531902487966,54.43307817862223,0.014642162427656794,205.27776304315088,211.6368587935476,0.05159718648878343,0.03445537159593481,0.020675583434808832,0.15408935697148546,0.02239514289413096,211.87411356746722,205.02058433240305,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
12,0.6919509887695312,1696.0,1584.6,1.868414568901062,0.7730671763420105,0.6961162209510803,0.6814905405044556,0.7649802565574646,3740.2,3628.8,0.5301978945732116,722.2,528.6,1.9684535264968872,0.5498723149299621,0.5364203095436096,0.45748032331466676,0.5459504723548889,802.6,609.0,3.4641016151377544,0.004573483935072897,13.740451229854134,49.85017552627072,0.04584773734637186,0.006544151084718274,0.006517917727421641,0.0025606455889395814,0.006055962250697932,49.82128059373825,13.407460609675496,0.010152751194374707,140.1547715919797,134.32736132300076,0.0421109064947925,0.029073516155031363,0.011385429609668573,0.10530857353579227,0.02010045216677093,134.31693861907365,140.17560415421795,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
13,0.7087593078613281,1624.2,1477.4,1.7637875556945801,0.7927324295043945,0.7146913051605225,0.6949750542640686,0.7848350286483765,3847.4,3700.6,0.5290674209594727,608.2,645.6,1.8946169853210448,0.5512690067291259,0.5306251287460327,0.5431212961673737,0.5458085775375366,685.6,723.0,3.605551275463989,0.0053092005273084235,48.45781670690499,35.92547842409339,0.04211720939502903,0.007421320990303493,0.005360026831316902,0.009081391387648933,0.006161934843094803,35.91991091302984,48.11486256864921,0.017983639613745876,132.9622502817999,146.25265809550265,0.03508503906528521,0.03367397649857761,0.019662323622184407,0.09988550597560267,0.026915526480629504,146.37978002442824,132.93156133890852,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
14,0.7231634378433227,1540.0,1408.2,1.6727412462234497,0.8094477653503418,0.7288692235946655,0.7107876539230347,0.8019116997718811,3916.6,3784.8,0.530570101737976,789.0,460.8,1.8487566709518433,0.5501215696334839,0.5416034460067749,0.40728132128715516,0.5481156826019287,870.4,542.2,3.7416573867739413,0.00537109738432637,31.144823004794873,44.55737873798233,0.03997780534886181,0.00642931476054972,0.006711259693543562,0.005830610016093082,0.005601989689997534,44.64347656713129,30.798701271319867,0.01775558865188919,129.2934646453563,119.56153227522638,0.02551304192958062,0.0329789372694378,0.019875445004982305,0.0972357880407366,0.028055225156054107,119.37269369499877,129.5722192447131,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
15,0.7376990914344788,1463.4,1330.0,1.5941293001174928,0.8236865639686585,0.7438475728034973,0.7251729130744934,0.8176238536834717,3994.8,3861.4,0.5278674006462097,783.2,473.8,1.8078984498977662,0.5501551270484925,0.5374915122985839,0.4116345584392548,0.5427402973175048,857.4,548.0,3.872983346207417,0.004448303488668017,14.402777509911065,40.630038149132965,0.038324240864422564,0.005330466941821745,0.006143477961995432,0.0026910785725844577,0.004687268984987539,40.69103095277877,14.136477637657833,0.016665159636756032,138.1526691743594,128.0615477026574,0.015891238905377525,0.03350508835907142,0.020199703724259978,0.10389541059233248,0.028011387441863548,127.78826237178437,138.46154700854675,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
16,0.7525543689727783,1373.0,1262.2,1.5213830947875977,0.8401623368263245,0.7579615592956543,0.7421504735946656,0.8339370369911194,4062.6,3951.8,0.5258399963378906,777.8,484.6,1.766840362548828,0.5429148435592651,0.5366560935974121,0.41570372581481935,0.5435749888420105,846.6,553.4,4.0,0.006413780235018469,40.47221268969612,47.24150717324755,0.03240021368289473,0.00789476998414993,0.007496542208194117,0.007583010893949954,0.007206700993123791,47.22541688540187,40.09189444264264,0.010544431872928167,109.91160084358702,125.65126342381122,0.023456085677046448,0.025985208300394278,0.018299106572382887,0.08264836940635609,0.021147757252025917,125.52864214990934,110.09559482558782,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
17,0.76461101770401,1303.0,1203.8,1.4564362525939942,0.8530856132507324,0.7697207212448121,0.75529625415802,0.8484560132026673,4121.0,4021.8,0.529745352268219,713.8,538.2,1.7259302139282227,0.5514118432998657,0.5344840884208679,0.4637893378734589,0.5493414402008057,793.0,617.4,4.123105625617661,0.006767087850830011,30.48278202526797,59.58321911410964,0.03327842221721547,0.005520677286619131,0.009259314825907949,0.005713064453962712,0.005186597852661824,59.58187643906493,30.228463407854523,0.010688354972656761,105.17870506903952,94.74048764915663,0.02227681775960362,0.02772373253463266,0.010787948633400345,0.07904007505553257,0.021368723819776572,94.77341399358788,105.22471192642915,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
18,0.7748463034629822,1247.8,1150.0,1.3974616050720214,0.8655425071716308,0.7800437688827515,0.7656630396842956,0.8606752991676331,4174.8,4077.0,0.5351534724235535,727.8,509.8,1.717553186416626,0.5488309681415557,0.5413830876350403,0.45325762033462524,0.5492398321628571,821.4,603.4,4.242640687119285,0.008800982872161712,44.4495219321873,60.1232068339672,0.02852982610650557,0.007535928763150986,0.01025028882363234,0.00833428099041059,0.008096940890747441,60.08127828200728,44.13615298142782,0.019697219665384475,153.85109684366896,119.03512086775062,0.007754422085562905,0.03337135776771169,0.021239188808039284,0.11565600257674019,0.030047678879616808,118.8555425716445,154.05401650070667,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
19,0.7899077892303467,1157.0,1080.4,1.338794732093811,0.8799425840377808,0.7941556811332703,0.7827152729034423,0.8759163737297058,4244.4,4167.8,0.5340298771858215,637.6,603.0,1.7000577449798584,0.556020188331604,0.5381398797035217,0.5210183143615723,0.5499621748924255,728.2,693.6,4.358898943540674,0.005756773212817889,40.21442527253125,36.11426311030034,0.028162848444369767,0.006540953462411642,0.00611814744991068,0.007540465938749665,0.0062740909007362785,36.13087322498586,39.91691370835176,0.018263412380511736,132.46675054518397,146.57148426621052,0.021046845995582156,0.03296791731808768,0.021942685943257538,0.09958224575563801,0.027021803860796743,146.37540777056782,132.67192619390133,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
